;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;label
3482;2311;25.0;47.0;124.0;280000.0;32.37;27;72.0;9063600.0;1;NON;MARIE;CONNUE;CAP;CDI;-8783600.0;-292786.66666666674;49.25;2011;1
6171;2745;1.0;44.0;66.0;374380.0;32.15;31;5.0;12036317.0;0;NON;CELIBATAIRE;FONCTIONNAIRE;CAP;CDI;-11661937.0;-388731.2333333333;46.58333333333334;2011;1
227;690;24.0;56.0;190.0;128000.0;32.84;36;25.0;4203520.0;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-4075520.0;-135850.66666666663;59.0;2011;1
12857;3277;16.0;42.0;133.0;281970.0;32.87;36;17.0;9268353.9;0;NON;CONCUBINE;RENSEIGNER;CAP_Rechargeable;CDI;-8986383.899999999;-299546.12999999995;45.0;2011;1
4439;7277;19.0;26.0;71.0;160000.0;32.64;12;19.0;5222400.0;0;NON;MARIE;RENSEIGNER;CAP;CDI;-5062400.0;-168746.66666666663;27.0;2012;1
10781;4767;41.0;35.0;67.0;228604.0;33.0;60;41.0;7543932.0;1;NON;CONCUBINE;FAVORISER;CAP_Rechargeable;CDI;-7315328.0;-243844.26666666663;40.0;2012;1
11680;681;1.0;55.0;30.0;110000.0;32.92;24;3.0;3621200.0;1;NON;MARIE;RENSEIGNER;CAP;CDI;-3511200.0;-117040.0;57.0;2012;1
13228;6820;15.0;28.0;16.0;183603.0;32.55;24;16.0;5976277.6499999985;0;OUI;MARIE;FAVORISER;CAP;CDI;-5792674.6499999985;-193089.155;30.0;2012;1
3341;2148;39.0;45.0;56.0;123480.0;32.77;36;40.0;4046439.6000000006;0;NON;MARIE;CONNUE;CAP_Rechargeable;CDI;-3922959.6000000006;-130765.32000000002;48.0;2012;1
7415;1823;31.0;47.0;37.0;217970.0;32.76;24;43.0;7140697.199999997;0;NON;MARIE;RENSEIGNER;CAP_Rechargeable;CDI;-6922727.199999997;-230757.57333333328;49.0;2012;1
4068;5507;3.0;33.0;14.0;180000.0;32.97;25;3.0;5934600.0;0;NON;MARIE;RENSEIGNER;CAP;CDI;-5754600.0;-191820.0;35.083333333333336;2012;1
13884;2482;72.0;46.0;46.0;290872.14;32.97;18;72.0;9590054.4558;0;NON;CONCUBINE;CONNUE;CAP;CDI;-9299182.3158;-309972.74386;47.5;2011;1
