;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;label
5686;3623;78.0;52.0;294.0;249264.4;32.43;60;85.0;80250.0;0;0;0;3;1;0;169014.4;5633.8133333333335;57.0;2013;3;1;31;0;3;5;11;437856.5656846549;462765.74141768547;30.86250662982543;482990.06066666654;0
3636;3735;27.0;38.0;159.0;137000.0;31.201930766859004;24;33.0;43178.429445048;0;0;1;0;1;0;93821.57055495199;3127.385685165065;40.0;2017;2;0;49;0;0;13;11;348407.7354765545;354195.0145666767;31.611336366096918;364153.9046530612;0
11810;6010;65.0;38.0;146.0;835009.2;30.68;48;103.0;255063.0;0;1;0;3;1;0;579946.2;19331.54;42.0;2014;1;0;34;0;1;18;8;348407.7354765545;462765.74141768547;31.285981228209238;367436.7002162161;0
701;2254;19.0;53.0;33.0;205000.0;32.72;24;19.0;67218.0;0;0;0;1;0;0;137782.0;4592.733333333334;55.0;2014;0;1;4;0;0;0;2;437856.5656846549;313671.6793187913;31.611336366096918;367332.77090690075;0
10172;5488;27.0;37.0;29.0;425000.0;30.77;24;28.0;131062.0;0;0;0;1;1;0;293938.0;9797.933333333332;39.0;2013;2;0;21;0;0;3;4;348407.7354765545;313671.6793187913;31.611336366096918;383292.923074868;0
1803;2471;29.0;36.0;121.0;215166.0;32.88;36;29.0;70666.0;0;1;0;1;1;0;144500.0;4816.666666666667;39.0;2014;2;0;51;0;2;3;2;348407.7354765545;313671.6793187913;31.286291191230358;354672.1637394959;0
7624;664;39.0;40.0;96.0;129183.33;32.92;36;39.0;42479.0;0;0;0;1;1;0;86704.33;2890.144333333333;43.0;2013;2;0;27;0;2;6;1;348407.7354765545;313671.6793187913;31.286291191230358;369619.3079726029;0
11475;4051;65.0;50.0;105.0;339244.2;32.93;60;89.0;110890.0;0;0;0;3;1;0;228354.2;7611.806666666667;55.0;2014;1;1;28;0;3;5;7;437856.5656846549;462765.74141768547;30.86250662982543;331852.0351742628;0
788;811;63.0;42.0;162.0;309500.0;32.922162947284;36;77.0;102923.32759782;0;1;0;1;1;0;206576.67240218;6885.889080072669;45.0;2017;1;1;49;0;2;7;11;437856.5656846549;313671.6793187913;31.286291191230358;364153.9046530612;0
13269;21;23.0;29.0;36.0;99000.0;32.97;24;23.0;32715.0;1;0;3;0;0;0;66285.0;2209.5;31.0;2013;0;0;4;0;0;0;11;348407.7354765545;354195.0145666767;31.611336366096918;367332.77090690075;0
15140;41;21.0;41.0;42.0;100000.0;32.69;24;22.0;32766.0;0;0;0;1;0;0;67234.0;2241.133333333333;43.0;2013;0;1;18;0;0;0;11;437856.5656846549;313671.6793187913;31.611336366096918;361661.5960337501;0
516;3516;11.0;56.0;424.0;290925.0;32.81;40;12.0;95267.0;0;0;0;2;0;0;195658.0;6521.9333333333325;59.33333333333334;2014;0;1;64;0;1;11;11;437856.5656846549;636429.0148717947;31.116335177695362;636250.9515277776;0
