"taux_endettement_cleaned";"anciennete_emploi_cleaned";"age_cleaned";"anciennete_bni_cleaned";"duree_pret_cleaned";"year";"salaire_mensuel_cleaned";"nb_salaires_cleaned";"statut_marita_cleaned_UNIQUEVAL";"nature_CAP_cleaned_UNIQUEVAL";"type_contrat_cleaned";"mensualite_cleaned";"code_DTX_cleaned_UNIQUEVAL";"categorie_employeur_cleaned_UNIQUEVAL";"scorePred"
32,26;186;40;39;36;2013;120000;38;"marie";"cap_rechargeable";"cdi";38712;0;"entreprise_privée_connue";95,09
30,17;21;25;7;24;2012;1e+05;5;"marie";"cap";"cdi";30170;0;"entreprise_privée_connue";75
31,97;14;32;3;24;2011;104000;3;"marie";"cap";"cdi";33248,8;0;"entreprise_privée_connue";68,47
32,97;75;43;60;48;2013;266302;60;"concubinage";"cap_rechargeable";"cdi";87799,7694;0;"entreprise_privée_connue";94,84
32,89;57;28;30;36;2014;210840;30;"marie";"cap_rechargeable";"cdi";69345,276;0;"entreprise_privée_connue";87,62
32,61;68;38;24;24;2013;128000;24;"concubinage";"cap";"cdi";41740,8;0;"entreprise_privée_connue";85,7
32,6;20;46;68;60;2012;237427;46;"marie";"cap_rechargeable";"cdi";77401,202;0;"fonctionnaire";95,98
32,92;306;45;28;22;2013;212000;27;"marie";"cap";"cdd";69790,4;0;"fonctionnaire";95,91
32,84;30;41;9;48;2011;267560,91;5;"concubinage";"cap";"cdi";87867,002844;0;"entreprise_privée_connue";87,96
32,9;178;43;69;24;2014;120000;66;"veuf(ve)";"cap_rechargeable";"cdi";39480;0;"entreprise_privée_à_renseigner";93,76
32,760020788245;107;39;102;60;2017;488928,8;96;"marie";"cap_rechargeable";"cdi";160173,176519717;0;"fonctionnaire";95,46
32,93;51;22;23;24;2013;155000;21;"celibataire";"cap";"cdi";51041,5;0;"entreprise_privée_connue";87,67
27,2;102;30;99;12;2014;1e+06;66;"marie";"cap";"cdi";272000;0;"entreprise_privée_à_favoriser";98,6
32,94;144;42;3;24;2012;111455,4;3;"marie";"cap";"cdi";36713,40876;0;"entreprise_privée_à_renseigner";94,17
32,884193667136;24;37;44;6;2017;261000;13;"marie";"cap";"cdd";85827,745471225;0;"fonctionnaire";97,26
32,97;70;36;16;24;2011;111836;14;"divorce";"cap";"cdi";36872,3292;0;"entreprise_privée_connue";88,05
32,94;46;44;6;24;2012;1e+05;5;"divorce";"cap";"cdi";32940;0;"entreprise_privée_connue";79,28
32,92;61;29;61;60;2013;320000;61;"marie";"cap";"cdi";105344;0;"entreprise_privée_à_favoriser";94,92
32,78;78;50;55;24;2013;270000;55;"marie";"cap_rechargeable";"cdi";88506;0;"entreprise_privée_connue";93,1
32,971987269094;19;35;9;36;2017;180864;1;"celibataire";"cap";"cdi";59634,4550543742;0;"entreprise_privée_connue";68,66
32,96;110;35;51;24;2013;107000;50;"marie";"cap";"cdi";35267,2;0;"entreprise_privée_connue";87,31
32,39;50;36;2;36;2012;117300;2;"concubinage";"cap";"cdi";37993,47;0;"entreprise_privée_à_favoriser";88,54
32,91;47;30;47;60;2012;260515,6;38;"marie";"cap";"cdi";85735,68396;0;"fonctionnaire";97,05
19,91;197;46;50;36;2012;636316;48;"marie";"cap";"cdi";126690,5156;0;"fonctionnaire";98,57
32,96;102;36;15;36;2014;181170;15;"marie";"cap";"cdi";59713,632;0;"entreprise_privée_connue";92,21
32,86;38;21;14;9;2014;302464,8;12;"concubinage";"cap";"cdi";99389,93328;0;"fonctionnaire";96,08
32,79;18;50;53;24;2012;245401,14;17;"marie";"cap";"cdi";80467,033806;0;"entreprise_privée_connue";90,06
31,769149315184;34;24;34;36;2017;7e+05;27;"celibataire";"cap";"cdi";222384,045206288;0;"entreprise_privée_à_renseigner";94,77
23,71;96;48;4;24;2011;150000;4;"veuf(ve)";"cap";"cdi";35565;0;"entreprise_privée_connue";88,52
32,99;423;57;119;36;2014;352583,4;77;"marie";"cap_rechargeable";"cdi";116317,26366;0;"fonctionnaire";98,79
32,72;36;41;23;24;2013;127580;23;"celibataire";"cap";"cdi";41744,176;0;"entreprise_privée_connue";86,14
32,35;39;26;37;48;2011;297881;25;"marie";"cap_rechargeable";"cdi";96364,5035;1;"entreprise_privée_connue";87,35
32,86;83;37;22;24;2013;150000;22;"marie";"cap";"cdi";49290;0;"entreprise_privée_connue";91,41
29,58;81;37;63;48;2011;496459;25;"marie";"cap_rechargeable";"cdi";146852,5722;0;"entreprise_privée_connue";95,32
32,97;87;50;34;24;2014;215100;32;"marie";"cap_rechargeable";"cdi";70918,47;1;"entreprise_privée_à_renseigner";91,73
32,82;96;46;40;24;2013;153233;28;"concubinage";"cap_rechargeable";"cdi";50291,0706;0;"entreprise_privée_connue";93,68
32,97;356;50;307;12;2014;1529890;304;"marie";"cap_2";"cdi";504404,733;0;"fonctionnaire";99,58
