"taux_endettement_cleaned";"anciennete_emploi_cleaned";"age_cleaned";"anciennete_bni_cleaned";"duree_pret_cleaned";"year";"salaire_mensuel_cleaned";"nb_salaires_cleaned";"statut_marita_cleaned_UNIQUEVAL";"nature_CAP_cleaned_UNIQUEVAL";"type_contrat_cleaned";"mensualite_cleaned";"code_DTX_cleaned_UNIQUEVAL";"categorie_employeur_cleaned_UNIQUEVAL";"scorePred"
32,998230865202;76;26;63;48;2017;246700;28;"marie";"cap_rechargeable";"cdi";81406,6355444533;0;"entreprise_privée_connue";86,73
25,31;76;27;61;36;2013;445000;58;"marie";"cap_rechargeable";"cdi";112629,5;0;"fonctionnaire";96,06
28,35;6;54;27;24;2011;8e+05;25;"marie";"cap";"cdi";226800;0;"entreprise_privée_à_renseigner";96,65
32,64;25;32;19;24;2011;215882;13;"marie";"cap_rechargeable";"cdd";70463,8848;0;"fonctionnaire";93,31
27,018140952172;52;31;38;36;2017;642000;28;"celibataire";"cap";"cdi";173456,464912944;0;"entreprise_privée_connue";94,03
32,76;62;31;17;24;2011;96183;13;"marie";"cap";"cdi";31509,5508;1;"entreprise_privée_connue";38,95
32,53;403;53;91;60;2014;353966,2;54;"concubinage";"cap_rechargeable";"cdi";115145,20486;0;"fonctionnaire";96,93
32,69;28;24;13;24;2014;160000;13;"marie";"cap";"cdi";52304;1;"entreprise_privée_connue";88,87
32,972720885825;83;36;71;48;2017;274700;29;"marie";"cap_rechargeable";"cdi";90576,0642733613;0;"entreprise_privée_connue";95,27
32,97;101;33;36;24;2013;175782;35;"marie";"cap";"cdi";57955,3254;0;"entreprise_privée_connue";93,32
32,86;169;47;30;24;2013;150000;30;"marie";"cap_rechargeable";"cdi";49290;0;"entreprise_privée_connue";91,41
32,92;77;34;50;24;2014;546077;50;"marie";"cap";"cdi";179768,5484;0;"entreprise_privée_à_renseigner";96,82
32,55;62;38;9;24;2011;99128;5;"marie";"cap";"cdi";32266,164;1;"entreprise_privée_à_renseigner";75,45
32,6;55;25;55;24;2014;254500;53;"celibataire";"cap";"cdi";82967;0;"entreprise_privée_connue";89,72
32,98;38;45;37;36;2014;186000;37;"marie";"cap_rechargeable";"cdi";61342,8;0;"entreprise_privée_connue";89,24
25,2;80;50;6;24;2011;160000;3;"marie";"cap";"cdi";40320;0;"entreprise_privée_à_renseigner";93,73
32,94;426;55;117;37;2014;510083,4;115;"veuf(ve)";"cap_rechargeable";"cdi";168021,47196;0;"fonctionnaire";98,86
32,95;20;38;7;48;2012;323933;5;"marie";"cap";"cdi";106735,9235;0;"fonctionnaire";96,94
32,99;126;46;43;36;2013;3e+05;42;"marie";"cap_rechargeable";"cdi";98970;0;"entreprise_privée_connue";95,65
13,16383279809;32;35;29;48;2017;242000;23;"marie";"cap_2";"cdi";31856,4753713778;0;"entreprise_privée_à_favoriser";91,24
33;97;29;77;48;2013;384318,59;77;"celibataire";"cap_rechargeable";"cdi";126825,1347;0;"entreprise_privée_connue";92,05
32,9;103;40;66;24;2013;133000;65;"marie";"cap_rechargeable";"cdi";43757;0;"entreprise_privée_connue";93,1
32,99;31;36;69;31;2014;294000;30;"celibataire";"cap";"cdi";96990,6;0;"entreprise_privée_connue";92,89
2,9258859548084;239;50;117;48;2017;620000;62;"marie";"cap_2";"cdi";18140,4929198121;0;"entreprise_privée_connue";94,02
32,81;114;34;36;18;2014;2e+05;36;"marie";"cap_rechargeable";"cdi";65620;0;"entreprise_privée_à_renseigner";92,98
31,680939570575;18;32;16;24;2017;155000;9;"celibataire";"cap";"cdi";49105,4563343912;0;"entreprise_privée_à_renseigner";85,32
32,965941982333;126;53;63;48;2017;306133;29;"marie";"cap_rechargeable";"cdi";100919,627168775;0;"entreprise_privée_connue";95,69
32,77;39;29;29;18;2013;210000;28;"celibataire";"cap";"cdi";68817;0;"entreprise_privée_à_renseigner";91,25
32,8;78;41;2;24;2012;186500;2;"marie";"cap";"cdi";61172;0;"entreprise_privée_connue";88,23
32,23;90;44;85;24;2014;170000;54;"marie";"cap";"cdi";54791;0;"entreprise_privée_à_renseigner";96,11
32,03;39;26;27;36;2013;2e+05;26;"celibataire";"cap";"cdi";64060;0;"entreprise_privée_connue";85,94
32,78;71;25;24;24;2013;179481;23;"celibataire";"cap";"cdi";58833,8718;0;"entreprise_privée_à_renseigner";93,71
32,6;11;41;4;24;2012;98729;4;"concubinage";"cap";"cdi";32185,654;1;"entreprise_privée_connue";49,85
32,256720835742;48;29;34;60;2017;287294;28;"celibataire";"cap_rechargeable";"cdi";92671,6235578366;0;"fonctionnaire";94,77
32,6;40;45;6;24;2012;89486;6;"veuf(ve)";"cap";"cdi";29172,436;0;"entreprise_privée_à_renseigner";57,77
32,50022616196;46;28;13;36;2017;254700;5;"marie";"cap";"cdi";82778,0760345121;1;"entreprise_privée_connue";89,95
32,95;50;42;27;24;2014;204528;26;"marie";"cap_rechargeable";"cdi";67391,976;0;"entreprise_privée_connue";86,88
32,99;31;35;9;48;2011;250000;8;"celibataire";"cap";"cdi";82475;0;"entreprise_privée_connue";85,47
31,04;255;47;11;48;2014;642000;10;"marie";"cap";"cdi";199276,8;0;"fonctionnaire";98,1
28,07;50;31;49;36;2012;528530;49;"marie";"cap";"cdi";148358,371;0;"entreprise_privée_connue";94,71
32,74;15;31;15;24;2011;450000;1;"celibataire";"cap";"cdi";147330;0;"entreprise_privée_connue";79,58
32,84;47;23;34;24;2013;109500;34;"celibataire";"cap";"cdi";35959,8;0;"entreprise_privée_à_renseigner";87,96
32,69;18;30;5;25;2012;80000;5;"concubinage";"cap";"cdi";26152;0;"entreprise_privée_à_renseigner";78,11
32,79;85;26;39;36;2013;112700;38;"marie";"cap_rechargeable";"cdi";36954,33;0;"entreprise_privée_connue";89,79
32,99;43;32;38;24;2014;288083;38;"marie";"cap_rechargeable";"cdi";95038,5817;0;"entreprise_privée_connue";91,11
32,42;66;36;57;48;2012;318414;57;"celibataire";"cap";"cdi";103229,8188;0;"entreprise_privée_connue";89,49
32,1;37;27;16;36;2014;240000;16;"concubinage";"cap";"cdi";77040;0;"entreprise_privée_à_favoriser";93,93
32,71;436;55;27;48;2013;504683;25;"marie";"cap";"cdi";165081,8093;0;"fonctionnaire";96,86
30,67;155;33;2;24;2011;268284;2;"marie";"cap";"cdi";82282,7028;0;"entreprise_privée_connue";89,44
32,86;58;31;26;24;2013;150000;26;"marie";"cap";"cdi";49290;0;"entreprise_privée_connue";85,31
32,77;152;36;41;24;2013;158050;41;"veuf(ve)";"cap_rechargeable";"cdi";51792,985;0;"entreprise_privée_connue";93,04
32,66;88;30;88;60;2013;270000;88;"marie";"cap_rechargeable";"cdi";88182;0;"entreprise_privée_à_favoriser";97,12
20,09;331;48;23;36;2013;876039;22;"marie";"cap";"cdi";175996,2351;0;"fonctionnaire";97,62
32,757673391123;66;53;55;36;2017;580000;47;"marie";"cap_rechargeable";"cdi";189994,505668513;0;"entreprise_privée_à_renseigner";95,15
32,92;126;30;58;36;2013;213825,15;58;"marie";"cap_rechargeable";"cdi";70391,23938;0;"entreprise_privée_connue";89,68
31,97;19;25;13;24;2014;235944;13;"marie";"cap";"cdi";75431,2968;0;"entreprise_privée_connue";89,47
32,74;61;45;68;24;2011;190900;25;"marie";"cap_rechargeable";"cdi";62500,66;1;"entreprise_privée_connue";90,76
32,36;59;55;47;24;2012;120873,2;47;"marie";"cap";"cdi";39114,56752;0;"entreprise_privée_connue";83,65
32,71;70;32;28;24;2013;123000;28;"concubinage";"cap";"cdi";40233,3;0;"entreprise_privée_connue";87,35
32,76;49;25;30;24;2013;120476;30;"marie";"cap_rechargeable";"cdi";39467,9376;1;"entreprise_privée_connue";83,39
32,66;83;32;16;24;2012;104934;16;"marie";"cap_rechargeable";"cdi";34271,4444;0;"entreprise_privée_connue";91,67
32,84;61;44;21;36;2013;270000;21;"marie";"cap";"cdi";88668;0;"entreprise_privée_connue";92,81
32,82;86;27;64;18;2014;119000;63;"veuf(ve)";"cap";"cdi";39055,8;1;"entreprise_privée_à_renseigner";74,53
32,7;191;52;2;24;2012;99957,88;2;"marie";"cap";"cdi";32686,22676;0;"entreprise_privée_à_renseigner";94,06
33;132;42;19;24;2014;106200;19;"marie";"cap";"cdi";35046;0;"entreprise_privée_connue";83,96
27,94;30;29;27;24;2014;180000;27;"celibataire";"cap";"cdi";50292;0;"entreprise_privée_à_favoriser";90,91
30,48;49;31;12;48;2011;488800;11;"celibataire";"cap_rechargeable";"cdi";148986,24;0;"entreprise_privée_connue";90,46
13,05;65;29;73;24;2014;782000;73;"concubinage";"cap";"cdi";102051;0;"entreprise_privée_à_renseigner";97,4
32,57;72;41;38;36;2013;130000;38;"marie";"cap_rechargeable";"cdi";42341;0;"entreprise_privée_connue";90,7
32,99;79;39;46;24;2013;467168;45;"marie";"cap_rechargeable";"cdi";154118,7232;0;"entreprise_privée_à_renseigner";95,99
32,91;178;52;53;48;2014;480000;52;"marie";"cap_rechargeable";"cdi";157968;0;"entreprise_privée_à_favoriser";97,19
32,77;129;49;118;36;2013;207300;117;"marie";"cap";"cdi";67932,21;0;"entreprise_privée_connue";96,92
32,23;28;31;4;36;2012;239085;3;"marie";"cap";"cdi";77057,0955;0;"entreprise_privée_connue";71,7
32,2;65;35;46;48;2013;151128;46;"marie";"cap_rechargeable";"cdi";48663,216;0;"entreprise_privée_connue";86,69
32,800290403426;11;35;9;18;2017;344937;1;"marie";"cap";"cdd";113140,337708866;0;"fonctionnaire";96,91
31,59;51;34;24;48;2011;141485;24;"marie";"cap_rechargeable";"cdi";44695,1115;0;"entreprise_privée_connue";80,05
32,89;99;33;11;24;2014;344000;11;"marie";"cap";"cdi";113141,6;0;"entreprise_privée_connue";94,19
17,1;55;38;47;12;2011;378794;45;"marie";"cap";"cdi";64773,774;0;"entreprise_privée_à_renseigner";96,13
32,69;35;50;71;24;2014;2e+05;70;"marie";"cap";"cdi";65380;0;"entreprise_privée_à_renseigner";90,53
28,965001153733;84;39;78;60;2017;537189;64;"marie";"cap_rechargeable";"cdi";155596,800047727;0;"fonctionnaire";97,74
32,855802040014;35;40;8;16;2017;336595,8;0;"marie";"cap";"cdd";110591,249723001;0;"fonctionnaire";96,98
32,87;31;42;23;48;2011;2e+05;9;"marie";"cap_rechargeable";"cdi";65740;0;"entreprise_privée_connue";86,66
32,91;117;39;52;24;2014;169599,96;52;"marie";"cap_rechargeable";"cdi";55815,346836;0;"entreprise_privée_connue";90,75
32,776591039147;136;35;24;48;2017;124300;18;"celibataire";"cap_rechargeable";"cdi";40741,3026616597;0;"entreprise_privée_connue";88,92
32,97;20;35;7;24;2012;101000;6;"marie";"cap";"cdi";33299,7;0;"entreprise_privée_connue";60,71
32,42;104;31;51;48;2013;180000;49;"marie";"cap";"cdi";58356;1;"entreprise_privée_connue";90,17
32,900511443554;29;36;13;24;2017;166000;0;"marie";"cap";"cdi";54614,8489962996;0;"entreprise_privée_connue";79,93
32,5;16;39;6;24;2012;130000;3;"marie";"cap";"cdi";42250;0;"entreprise_privée_connue";64,89
32;63;36;61;60;2014;382808;49;"marie";"cap_rechargeable";"cdi";122498,56;0;"fonctionnaire";96,89
32,672444139041;35;47;8;60;2017;364177,8;1;"celibataire";"cap";"cdi";118985,788271788;0;"fonctionnaire";96,91
32,12;32;32;17;48;2014;443142,6;15;"marie";"cap";"cdi";142337,40312;0;"fonctionnaire";97,36
33;28;38;22;24;2014;196000;22;"celibataire";"cap";"cdi";64680;0;"entreprise_privée_à_renseigner";85,24
32,76;62;45;40;24;2011;162797;37;"marie";"cap_rechargeable";"cdi";53332,2972;0;"entreprise_privée_connue";90,49
32,99;68;29;26;24;2013;132000;25;"marie";"cap";"cdi";43546,8;0;"entreprise_privée_connue";83,18
32,94;32;26;54;12;2013;6e+05;32;"celibataire";"cap";"cdd";197640;0;"entreprise_privée_connue";91,39
19,107252190529;180;41;94;12;2017;494000;87;"celibataire";"cap";"cdi";94389,8258212132;0;"entreprise_privée_connue";92,73
32,76;52;33;2;24;2012;109000;2;"marie";"cap";"cdi";35708,4;0;"entreprise_privée_connue";81,84
32,833711634722;334;54;122;60;2017;599335,8;115;"marie";"cap_rechargeable";"cdi";196784,188295654;0;"fonctionnaire";97,54
29,42;109;41;38;30;2014;207223,65;38;"marie";"cap_rechargeable";"cdi";60965,19783;0;"entreprise_privée_connue";93,57
32,89;15;23;13;24;2014;180000;12;"celibataire";"cap";"cdi";59202;0;"entreprise_privée_connue";82,19
32,69;85;31;30;24;2014;140000;29;"concubinage";"cap_rechargeable";"cdi";45766;0;"entreprise_privée_connue";90,65
21,56;43;43;6;29;2012;387446,6;2;"concubinage";"cap";"cdi";83533,48696;0;"fonctionnaire";97,66
32,63;375;57;60;48;2012;314000;57;"marie";"cap_rechargeable";"cdi";102458,2;0;"fonctionnaire";97,77
32,65;23;41;12;10;2014;404100;10;"marie";"cap";"cdd";131938,65;0;"fonctionnaire";97,37
32,348461881673;60;36;90;36;2017;169257;51;"concubinage";"cap";"cdi";54752,0361270633;0;"entreprise_privée_à_renseigner";92,68
32,04;140;35;73;60;2014;382316;54;"marie";"cap_rechargeable";"cdi";122494,0464;0;"fonctionnaire";96,82
32,71;120;27;26;24;2013;150662;23;"marie";"cap_rechargeable";"cdi";49281,5402;0;"entreprise_privée_à_renseigner";92,11
32,68;19;55;7;26;2011;715000;5;"concubinage";"cap";"cdi";233662;0;"entreprise_privée_connue";85,97
31,34;94;35;13;24;2014;124694;11;"marie";"cap";"cdi";39079,0996;0;"entreprise_privée_à_renseigner";91,48
32,89;118;38;26;24;2013;215600;26;"celibataire";"cap";"cdi";70910,84;0;"entreprise_privée_à_renseigner";92,65
18,722232982101;21;30;39;12;2017;758452,8;15;"celibataire";"cap";"cdi";141999,300275269;0;"fonctionnaire";97,36
32,95;323;54;30;60;2014;364800;30;"marie";"cap_rechargeable";"cdi";120201,6;0;"entreprise_privée_à_favoriser";96,32
32,86;78;25;47;24;2013;150000;46;"concubinage";"cap_rechargeable";"cdi";49290;1;"entreprise_privée_à_renseigner";80,33
32,74;98;42;27;48;2011;174500;25;"marie";"cap_rechargeable";"cdi";57131,3;0;"entreprise_privée_à_favoriser";93,53
32,74;103;36;2;24;2012;92609,61;1;"marie";"cap";"cdi";30320,386314;0;"entreprise_privée_à_renseigner";93,64
32,67;18;53;4;24;2011;108000;1;"marie";"cap";"cdi";35283,6;0;"entreprise_privée_à_renseigner";81,28
32,51;11;39;5;24;2011;1e+05;5;"marie";"cap";"cdi";32510;0;"entreprise_privée_à_favoriser";75,92
32,97;13;30;52;24;2012;1047288,21;37;"marie";"cap";"cdi";345290,922837;0;"entreprise_privée_à_favoriser";95,7
32,85;19;40;11;60;2014;264759,2;10;"concubinage";"cap";"cdi";86973,3972;0;"fonctionnaire";97,49
32,85;66;52;66;12;2014;278765,07;66;"concubinage";"cap";"cdi";91574,325495;0;"entreprise_privée_à_renseigner";95,56
32,3;54;56;3;36;2012;158000;3;"marie";"cap";"cdi";51034;0;"entreprise_privée_connue";81,75
32,99;86;27;8;24;2014;179200;8;"marie";"cap";"cdi";59118,08;0;"entreprise_privée_connue";89,34
32,980638998513;148;40;89;60;2017;638800;28;"marie";"cap";"cdi";210680,321922501;0;"entreprise_privée_connue";98,07
32,564020035907;75;34;30;48;2017;266600;25;"marie";"cap_rechargeable";"cdi";86815,6774157281;0;"entreprise_privée_connue";93,31
30,88;46;31;30;9;2011;7e+05;19;"celibataire";"cap";"cdi";216160;0;"entreprise_privée_connue";91,38
32,89;140;45;31;25;2012;105000;28;"marie";"cap";"cdi";34534,5;0;"entreprise_privée_à_renseigner";92,59
32,69;13;32;2;24;2012;1e+06;1;"celibataire";"cap";"cdi";326900;0;"entreprise_privée_connue";59,72
33;263;51;60;36;2014;139700;54;"marie";"cap_rechargeable";"cdi";46101;0;"entreprise_privée_connue";83,26
32,12;28;33;25;60;2011;261388;24;"marie";"cap_rechargeable";"cdi";83957,8256;1;"entreprise_privée_connue";89,38
32,77;134;30;36;24;2014;155000;32;"marie";"cap_rechargeable";"cdi";50793,5;0;"entreprise_privée_connue";91,34
32,52;72;41;2;24;2011;475000;2;"marie";"cap";"cdi";154470;0;"entreprise_privée_à_renseigner";94,16
26,97;242;46;227;24;2013;731578,6;227;"marie";"cap";"cdi";197306,74842;0;"entreprise_privée_connue";99,31
32,97;25;23;10;24;2014;163000;46;"marie";"cap";"cdi";53741,1;0;"entreprise_privée_connue";85,33
18,68;239;51;22;10;2014;574282;19;"marie";"cap";"cdi";107275,8776;0;"fonctionnaire";97,04
17,55;104;41;72;48;2014;810908,6;66;"marie";"cap_rechargeable";"cdi";142314,4593;0;"fonctionnaire";98,31
32,8;50;26;38;24;2013;190150;38;"marie";"cap_rechargeable";"cdi";62369,2;0;"entreprise_privée_connue";86,96
32,92;34;29;22;24;2013;117618;21;"celibataire";"cap";"cdi";38719,8456;0;"entreprise_privée_à_renseigner";88,3
32,45;28;41;5;24;2012;93000;3;"marie";"cap";"cdi";30178,5;1;"entreprise_privée_à_renseigner";81,17
32,95;71;41;2;24;2012;109892;2;"marie";"cap";"cdi";36209,414;0;"entreprise_privée_connue";85,8
32,82;82;58;82;24;2013;387039,4;79;"celibataire";"cap_rechargeable";"cdi";127026,33108;0;"fonctionnaire";95,84
32,46;57;38;21;24;2014;110000;20;"marie";"cap";"cdi";35706;0;"entreprise_privée_connue";87,83
32,98;28;32;19;24;2012;330000;19;"marie";"cap";"cdi";108834;0;"entreprise_privée_à_renseigner";92,84
32,64;31;28;73;24;2014;1133600;31;"celibataire";"cap_rechargeable";"cdi";370007,04;0;"entreprise_privée_connue";96,14
32,88;73;51;271;60;2013;667000;90;"marie";"cap_rechargeable";"cdi";219309,6;0;"fonctionnaire";99,36
32,75;50;31;34;24;2014;187338;34;"marie";"cap_rechargeable";"cdi";61353,195;0;"entreprise_privée_connue";86,09
32,14;56;26;35;24;2014;195566;34;"concubinage";"cap";"cdi";62854,9124;0;"entreprise_privée_à_renseigner";89,82
30,17;126;34;22;24;2013;2e+05;22;"marie";"cap";"cdi";60340;0;"entreprise_privée_connue";91,67
32,95;392;53;85;30;2014;443352,8;83;"concubinage";"cap_2";"cdi";146084,7476;0;"fonctionnaire";98,42
11,43;46;26;33;30;2013;444000;33;"marie";"cap";"cdi";50749,2;0;"entreprise_privée_à_favoriser";93,13
32,66;64;48;17;24;2012;104934;17;"marie";"cap_rechargeable";"cdi";34271,4444;0;"entreprise_privée_connue";89,35
32,94;32;30;31;24;2013;134781;30;"celibataire";"cap";"cdi";44396,8614;0;"entreprise_privée_connue";84,19
32,9;55;34;4;24;2012;107000;3;"concubinage";"cap";"cdi";35203;1;"entreprise_privée_connue";86,15
31;63;43;52;60;2011;1080229;25;"marie";"cap";"cdi";334870,99;0;"fonctionnaire";98,25
31,71;116;45;95;30;2013;1050000;95;"marie";"cap_rechargeable";"cdi";332955;0;"entreprise_privée_connue";97,31
32,8;49;41;33;24;2013;182000;30;"celibataire";"cap";"cdi";59696;0;"entreprise_privée_connue";86,28
32,41;37;30;20;16;2013;350000;20;"celibataire";"cap";"cdi";113435;0;"entreprise_privée_connue";87,36
32,77;190;46;5;60;2012;2e+05;2;"marie";"cap";"cdi";65540;0;"fonctionnaire";94,86
32,66;85;43;21;24;2014;110000;20;"marie";"cap";"cdi";35926;0;"entreprise_privée_connue";91,08
32,447914267267;34;33;22;36;2017;320000;14;"marie";"cap_rechargeable";"cdi";103833,325655254;0;"entreprise_privée_connue";89,16
32,5;89;37;75;24;2013;410000;74;"marie";"cap_rechargeable";"cdi";133250;0;"entreprise_privée_à_renseigner";96,05
32,61;30;50;58;53;2012;407626,6;48;"concubinage";"cap_rechargeable";"cdi";132927,03426;0;"fonctionnaire";95,86
29,96;174;35;41;36;2014;211450,5;41;"marie";"cap_rechargeable";"cdi";63350,5698;0;"entreprise_privée_connue";94,21
32,86;186;40;43;36;2013;125000;43;"marie";"cap_rechargeable";"cdi";41075;0;"entreprise_privée_connue";90,66
32,35;53;33;6;48;2012;282842,4;2;"marie";"cap";"cdi";91499,5164;0;"fonctionnaire";96,75
32,92;71;44;71;24;2014;1153200;71;"marie";"cap_rechargeable";"cdi";379633,44;0;"entreprise_privée_connue";96,77
32,938022374726;66;29;66;48;2017;6e+05;60;"celibataire";"cap_rechargeable";"cdi";197628,134248356;0;"entreprise_privée_à_renseigner";96,14
32,93;83;47;24;18;2013;182898;23;"marie";"cap";"cdi";60228,3114;0;"entreprise_privée_connue";91,28
32,98;39;42;36;24;2013;154506,3;36;"celibataire";"cap";"cdi";50956,17774;0;"entreprise_privée_connue";88,52
26,61;19;36;12;36;2012;680000;12;"marie";"cap_rechargeable";"cdi";180948;0;"entreprise_privée_connue";93
32,98;41;50;37;24;2013;247000;36;"marie";"cap";"cdi";81460,6;0;"entreprise_privée_connue";92,09
32,48;37;40;24;48;2014;227060;24;"concubinage";"cap_rechargeable";"cdi";73749,088;0;"entreprise_privée_à_renseigner";92,4
32,954022371651;89;38;56;60;2017;388000;49;"marie";"cap_rechargeable";"cdi";127861,606802006;0;"entreprise_privée_à_favoriser";93,73
32,89;50;24;31;24;2013;109476;31;"celibataire";"cap_rechargeable";"cdi";36006,6564;0;"entreprise_privée_connue";85,82
32,65;44;33;5;6;2012;250000;2;"marie";"cap";"cdd";81625;0;"fonctionnaire";93,8
32,85;34;52;27;28;2011;3e+05;25;"marie";"cap";"cdi";98550;0;"entreprise_privée_connue";90,41
31,5;278;54;49;30;2011;651555,2;41;"marie";"cap_rechargeable";"cdi";205239,888;0;"fonctionnaire";98,02
32,75;35;30;32;24;2013;365000;32;"marie";"cap";"cdi";119537,5;0;"entreprise_privée_à_renseigner";93,59
30,17;112;31;12;24;2014;2e+05;12;"marie";"cap";"cdi";60340;0;"entreprise_privée_connue";92,97
32,69;60;41;36;24;2012;4e+05;34;"concubinage";"cap";"cdi";130760;0;"entreprise_privée_à_renseigner";95,62
26,19;30;39;29;24;2014;960000;29;"marie";"cap_rechargeable";"cdi";251424;0;"entreprise_privée_connue";93,63
32,56;70;40;8;24;2011;92000;6;"marie";"cap";"cdi";29955,2;0;"entreprise_privée_à_renseigner";91,06
32,87;36;29;30;36;2011;220000;16;"marie";"cap_rechargeable";"cdi";72314;1;"entreprise_privée_connue";85,78
32,88;161;31;37;36;2013;350000;37;"marie";"cap_rechargeable";"cdi";115080;0;"entreprise_privée_connue";94,43
32,86;54;33;44;24;2013;257682;41;"marie";"cap_rechargeable";"cdi";84674,3052;0;"entreprise_privée_à_renseigner";95,36
30,15;33;32;44;25;2013;714297;43;"marie";"cap_2";"cdi";215360,5455;1;"entreprise_privée_connue";95,07
32,61;50;34;38;24;2013;231300;38;"marie";"cap_rechargeable";"cdi";75426,93;0;"entreprise_privée_connue";90,15
27,18;24;32;4;24;2011;927342;2;"marie";"cap";"cdi";252051,5556;0;"entreprise_privée_à_renseigner";94,76
32,3;50;30;50;24;2013;137000;50;"celibataire";"cap";"cdi";44251;0;"entreprise_privée_connue";80,29
32,77;48;36;44;60;2014;299000;31;"concubinage";"cap_rechargeable";"cdi";97982,3;0;"entreprise_privée_à_favoriser";95,32
32,85;170;46;47;36;2014;203786;47;"marie";"cap_rechargeable";"cdi";66943,701;0;"entreprise_privée_connue";92,56
31,93;95;36;89;24;2014;346500;70;"marie";"cap_rechargeable";"cdi";110637,45;0;"entreprise_privée_à_renseigner";97,51
32,84;43;48;2;36;2011;126901;2;"marie";"cap";"cdi";41674,2884;0;"entreprise_privée_connue";77,77
32,44;124;44;71;36;2014;356960;66;"marie";"cap_rechargeable";"cdi";115797,824;0;"entreprise_privée_à_renseigner";96,04
32,63;64;47;72;48;2013;330000;72;"marie";"cap_rechargeable";"cdi";107679;0;"entreprise_privée_connue";94,84
32,766283490208;21;38;97;60;2017;1480347;13;"marie";"cap";"cdi";485054,694658789;0;"entreprise_privée_à_favoriser";97,88
32,95;61;33;36;36;2014;144964;36;"marie";"cap_rechargeable";"cdi";47765,638;0;"entreprise_privée_connue";91,19
32,651386731858;127;45;63;60;2017;371420,6;30;"marie";"cap_rechargeable";"cdi";121273,976507787;0;"fonctionnaire";97,35
22,537633677953;32;37;134;36;2017;2408600;23;"marie";"cap_rechargeable";"cdi";542841,444767176;0;"entreprise_privée_connue";98,9
33;188;42;22;36;2014;340000;22;"marie";"cap_rechargeable";"cdi";112200;0;"entreprise_privée_connue";91,41
31,54;117;42;73;36;2013;379724;73;"marie";"cap_rechargeable";"cdi";119764,9496;0;"entreprise_privée_à_favoriser";95,9
32,77;41;36;28;30;2012;160000;28;"celibataire";"cap";"cdi";52432;0;"entreprise_privée_à_renseigner";90,3
32,87;17;44;26;36;2012;242189;15;"marie";"cap_rechargeable";"cdi";79607,5243;0;"entreprise_privée_connue";87,89
30;238;49;20;24;2014;146600;19;"marie";"cap";"cdi";43980;0;"entreprise_privée_à_renseigner";92,16
32,9;81;31;1;24;2011;192249,73;1;"marie";"cap";"cdi";63250,16117;0;"entreprise_privée_connue";84,28
32,97;96;48;69;60;2014;221024,2;67;"marie";"cap_rechargeable";"cdi";72871,67874;0;"fonctionnaire";94,59
32,970902113459;181;48;51;48;2017;251366,66;28;"marie";"cap_rechargeable";"cdi";82877,8554144713;0;"entreprise_privée_connue";96,02
32,27;13;34;5;24;2011;100367;4;"celibataire";"cap";"cdi";32388,4309;0;"entreprise_privée_connue";72,26
32,923063055701;171;32;124;60;2017;1035566;29;"marie";"cap_rechargeable";"cdi";340940,047163401;0;"fonctionnaire";98,8
32,63;319;55;94;60;2014;289824,4;66;"marie";"cap_rechargeable";"cdi";94569,70172;0;"fonctionnaire";96,41
30;54;39;28;36;2013;110740;39;"marie";"cap_rechargeable";"cdi";33222;0;"entreprise_privée_connue";78,61
31,43;6;34;4;24;2012;4e+05;0;"marie";"cap";"cdi";125720;0;"entreprise_privée_à_renseigner";90,61
26,89;418;54;82;24;2014;550414,4;65;"concubinage";"cap";"cdi";148006,43216;0;"fonctionnaire";98,37
32,94;51;38;3;24;2012;1e+05;3;"marie";"cap";"cdi";32940;0;"entreprise_privée_connue";82,01
30,88;24;51;7;12;2011;326281;4;"veuf(ve)";"cap";"cdi";100755,5728;0;"fonctionnaire";97,09
32,8;47;35;23;24;2011;121414;19;"marie";"cap_rechargeable";"cdi";39823,792;0;"entreprise_privée_connue";88,21
32,97;142;37;48;24;2013;137300;48;"marie";"cap";"cdi";45267,81;0;"entreprise_privée_connue";89,88
32,89;199;33;34;24;2014;105000;33;"marie";"cap_rechargeable";"cdi";34534,5;0;"entreprise_privée_connue";91,43
32,64;138;41;43;36;2013;163016;43;"marie";"cap_rechargeable";"cdi";53208,4224;0;"entreprise_privée_connue";92,07
32,21;58;29;42;18;2013;148834;41;"marie";"cap";"cdi";47939,4314;0;"entreprise_privée_à_renseigner";87,56
32,76;70;50;65;27;2011;273700;25;"celibataire";"cap";"cdi";89664,12;0;"entreprise_privée_à_favoriser";95,6
31,14;77;47;4;15;2011;192545;3;"marie";"cap";"cdi";59958,513;0;"entreprise_privée_connue";86,35
32,21;387;56;71;60;2012;502028,6;56;"divorce";"cap_rechargeable";"cdi";161703,41206;0;"fonctionnaire";97,14
32,94;99;47;115;39;2014;502690;54;"marie";"cap_rechargeable";"cdi";165586,086;0;"fonctionnaire";98,91
32,77;100;56;48;18;2013;285000;48;"marie";"cap_rechargeable";"cdi";93394,5;0;"entreprise_privée_à_renseigner";96,08
32,87;330;51;26;48;2013;219940;26;"divorce";"cap";"cdi";72294,278;0;"fonctionnaire";95,6
32,61;107;44;73;24;2014;202768;71;"marie";"cap";"cdi";66122,6448;0;"entreprise_privée_à_renseigner";93,44
32,59;45;26;27;24;2014;182090;26;"marie";"cap_rechargeable";"cdd";59343,131;0;"entreprise_privée_à_renseigner";92,9
