;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;istest;label
16047;16047;7680;6600;36.0;42.0;36.0;2200000.0;11.43;24;72.0;251460.0;0;0;0;1;1;0;1948540.0;64951.33333333334;44.0;2014;2;1;4;1;0;29;11;437856.5656846549;313671.6793187913;31.61133636609692;367332.77090690075;0;1
17937;17937;5097;7263;79.0;31.0;47.0;2000000.0;22.9;12;80.0;458000.0;0;0;3;0;0;0;1542000.0;51400.0;32.0;2013;3;0;7;2;4;12;17;348407.7354765545;354195.0145666767;28.630300939908953;344747.6512061669;0;1
2464;2464;6722;7293;30.0;29.0;31.0;2294100.0;23.46;17;74.0;538195.86;0;0;0;1;0;0;1755904.14;58530.138000000006;30.41666666666667;2013;2;0;4;2;0;7;39;348407.7354765545;313671.6793187913;30.73905029976644;367332.77090690075;0;1
5365;5365;13929;6612;364.0;57.0;424.0;2300000.0;21.45;24;364.0;493350.0;0;0;0;1;0;0;1806650.0;60221.66666666666;59.0;2014;4;1;64;2;0;56;39;437856.5656846549;313671.6793187913;31.61133636609692;636250.9515277776;0;1
127;127;4667;3060;133.0;41.0;162.0;2330000.0;15.88;24;133.0;370004.0;0;1;0;2;1;0;1959996.0;65333.2;43.0;2012;8;1;49;1;0;44;23;437856.5656846549;636429.0148717947;31.61133636609692;364153.9046530612;0;1
11480;11480;5061;2009;42.0;48.0;154.0;2088995.0;13.02;24;154.0;271987.149;0;1;0;2;1;0;1817007.851;60566.92836666668;50.0;2011;2;1;13;1;0;17;26;437856.5656846549;636429.0148717947;31.61133636609692;403923.1946232877;0;1
19279;19279;1846;1888;28.0;31.0;35.0;2105100.0;22.239139006638;20;63.0;468156.1152287365;0;0;0;0;0;0;1636943.8847712637;54564.79615904212;32.666666666666664;2017;2;0;4;2;0;2;11;348407.7354765545;354195.0145666767;29.537066352326065;367332.77090690075;0;1
14487;14487;9955;4079;2.0;37.0;128.0;2246325.0;20.39;12;3.0;458025.6675;0;0;0;1;0;0;1788299.3325;59609.97775;38.0;2012;0;0;17;2;4;1;39;348407.7354765545;313671.6793187913;28.630300939908953;366521.2754749999;0;1
19902;19902;5757;6589;119.0;49.0;31.0;2035500.0;20.04;12;119.0;407914.2;0;1;2;1;1;0;1627585.8;54252.86;50.0;2014;7;1;4;2;4;16;11;437856.5656846549;313671.6793187913;28.630300939908953;367332.77090690075;0;1
22341;22341;3514;7277;66.0;35.0;66.0;2093929.0;18.66;24;66.0;390727.1514;0;1;0;2;0;0;1703201.8486;56773.39495333332;37.0;2013;1;0;2;1;0;2;11;348407.7354765545;636429.0148717947;31.61133636609692;380339.13418342726;0;1
