;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;istest;label
331;331;2629;6475;4.0;30.0;5.0;1142030.37;32.94;24;5.0;376184.803878;0;1;2;2;0;0;765845.5661220001;25528.185537400004;32.0;2012;0;0;40;0;0;1;16;348407.7354765545;636429.0148717947;31.61133636609692;469000.8640981597;0;1
11763;11763;7544;6406;40.0;35.0;41.0;1400000.0;31.54;18;41.0;441560.0;0;1;0;2;0;0;958440.0;31948.0;36.5;2014;2;0;18;0;0;6;9;348407.7354765545;636429.0148717947;30.76080107132262;361661.5960337501;0;1
4962;4962;1636;6502;99.0;31.0;20.0;1638100.0;23.03;24;110.0;377254.43;0;0;0;0;0;0;1260845.57;42028.18566666667;33.0;2014;3;0;15;2;0;15;11;348407.7354765545;354195.0145666767;31.61133636609692;343394.4938213339;0;1
16349;16349;2727;5053;25.0;35.0;70.0;1296853.17;21.97;16;66.0;284918.641449;0;0;0;1;0;0;1011934.528551;33731.1509517;36.333333333333336;2011;0;0;3;2;0;2;11;348407.7354765545;313671.6793187913;30.984104664162068;369368.16014648456;0;1
17679;17679;1195;6578;66.0;36.0;69.0;2000000.0;32.99;36;67.0;659800.0000000001;0;0;2;1;0;0;1340200.0;44673.33333333334;39.0;2014;1;0;3;0;2;29;11;348407.7354765545;313671.6793187913;31.286291191230358;369368.16014648456;0;2
2413;2413;6313;7320;27.0;31.0;30.0;2700000.0;9.31;24;44.0;251370.0;0;0;0;0;0;0;2448630.0;81621.0;33.0;2013;2;0;21;3;0;9;31;348407.7354765545;354195.0145666767;31.61133636609692;383292.923074868;2;9
10825;10825;13619;6307;45.0;66.0;83.0;1175000.0;30.74;12;395.0;361195.0;0;0;2;3;1;0;813805.0;27126.83333333333;67.0;2014;2;2;25;0;4;51;16;871493.5023711338;462765.74141768547;28.630300939908953;405378.0481848188;0;1
15815;15815;3607;6450;46.0;32.0;52.0;1492000.0;32.92;10;50.0;491166.4;0;1;2;3;0;1;1000833.6;33361.12;32.833333333333336;2014;2;0;22;0;4;8;11;348407.7354765545;462765.74141768547;28.41662926615523;335757.89816463424;0;1
11698;11698;928;953;0.0;34.0;18.0;1942867.0;16.304751565202;36;133.0;316779.63759229315;0;1;0;2;0;0;1626087.362407707;54202.912080256894;37.0;2017;0;0;1;1;2;44;11;348407.7354765545;636429.0148717947;31.286291191230358;354620.2513569526;0;1
11269;11269;6073;6467;15.0;37.0;18.0;1515358.0;23.23;24;34.0;352017.6634;0;0;0;0;0;0;1163340.3366;38778.01122;39.0;2014;0;0;1;2;0;13;11;348407.7354765545;354195.0145666767;31.61133636609692;354620.2513569526;0;1
10240;10240;3609;4317;7.0;36.0;16.0;1646839.0;18.32;24;41.0;301700.9048;0;0;0;0;1;0;1345138.0952;44837.93650666666;38.0;2012;0;0;1;1;0;6;12;348407.7354765545;354195.0145666767;31.61133636609692;354620.2513569526;0;1
1661;1661;1246;1278;7.0;31.0;16.0;2494000.0;28.503950304155;24;82.0;710888.5205856258;0;1;0;1;0;0;1783111.479414374;59437.04931381247;33.0;2017;0;0;1;2;0;12;11;348407.7354765545;313671.6793187913;31.61133636609692;354620.2513569526;0;5
2402;2402;12698;7097;53.0;29.0;53.0;1380000.0;18.59;24;87.0;256542.0;0;0;2;0;0;0;1123458.0;37448.6;31.0;2013;1;0;22;1;0;5;9;348407.7354765545;354195.0145666767;31.61133636609692;335757.89816463424;0;1
20949;20949;346;355;63.0;56.0;216.0;1098000.0;21.479278471418;36;102.0;235842.47761616964;0;1;0;3;1;0;862157.5223838305;28738.584079461005;59.0;2017;1;1;62;2;2;26;11;437856.5656846549;462765.74141768547;31.286291191230358;460490.761140351;0;1
66;66;4765;2296;56.0;44.0;74.0;1403742.0;32.81;60;107.0;460567.7502;0;1;0;3;0;0;943174.2498;31439.14166;49.0;2012;1;1;12;0;3;18;21;437856.5656846549;462765.74141768547;30.86250662982543;387693.48423541867;0;1
578;578;5169;6337;22.0;48.0;63.0;1209612.0;32.87;23;98.0;397599.4644;0;0;0;3;0;0;812012.5356000002;27067.08452;49.91666666666666;2014;0;1;2;0;0;26;11;437856.5656846549;462765.74141768547;31.991199586500336;380339.13418342726;2;1
21619;21619;5424;6426;47.0;30.0;46.0;1427860.15;24.14;37;85.0;344685.44021;0;1;0;2;1;0;1083174.70979;36105.82365966667;33.083333333333336;2014;2;0;7;2;1;5;21;348407.7354765545;636429.0148717947;31.73519922052851;344747.6512061669;0;1
11451;11451;4461;5819;31.0;32.0;29.0;1542226.0;22.39;24;33.0;345304.40140000003;0;1;0;2;1;0;1196921.5986;39897.38662;34.0;2012;2;0;21;2;0;13;11;348407.7354765545;636429.0148717947;31.61133636609692;383292.923074868;0;1
850;850;7707;6555;54.0;44.0;118.0;1850000.0;21.13;24;123.0;390905.0;0;1;0;1;0;0;1459095.0;48636.5;46.0;2014;1;1;26;2;0;50;13;437856.5656846549;313671.6793187913;31.61133636609692;407503.0181769909;2;1
2830;2830;4740;5608;25.0;33.0;23.0;1200000.0;32.98;24;17.0;395760.0;0;0;2;0;0;0;804240.0;26808.0;35.0;2011;0;0;15;0;0;10;11;348407.7354765545;354195.0145666767;31.61133636609692;343394.4938213339;1;1
18917;18917;5781;5491;7.0;34.0;18.0;1312000.0;13.21;36;60.0;173315.2;0;1;0;2;0;0;1138684.8;37956.16;37.0;2011;0;0;1;1;2;4;11;348407.7354765545;636429.0148717947;31.286291191230358;354620.2513569526;0;1
2658;2658;6840;1265;60.0;51.0;84.0;2034000.0;22.29;12;178.0;453378.6;0;0;0;0;0;1;1580621.4;52687.38;52.0;2012;1;1;25;2;4;21;11;437856.5656846549;354195.0145666767;28.630300939908953;405378.0481848188;2;1
5711;5711;8763;6542;67.0;42.0;131.0;1799000.0;19.17;36;69.0;344868.3;0;1;4;3;1;0;1454131.7;48471.056666666664;45.0;2014;1;1;17;1;2;29;33;437856.5656846549;462765.74141768547;31.286291191230358;366521.2754749999;0;1
1357;1357;5265;7219;75.0;31.0;82.0;1700000.0;23.67;24;104.0;402390.0;0;0;0;2;1;0;1297610.0;43253.66666666666;33.0;2013;1;0;25;2;0;18;12;348407.7354765545;636429.0148717947;31.61133636609692;405378.0481848188;0;1
18609;18609;3811;1143;49.0;51.0;325.0;1467978.0;32.93;24;203.0;483405.1554;0;0;0;3;1;0;984572.8446;32819.09482;53.0;2012;2;1;23;0;0;25;11;437856.5656846549;462765.74141768547;31.61133636609692;574669.5614084506;0;1
305;305;1104;7171;137.0;56.0;128.0;1569649.0;22.0;24;389.0;345322.78;0;1;0;3;2;0;1224326.22;40810.874;58.0;2013;8;1;17;2;0;70;11;437856.5656846549;462765.74141768547;31.61133636609692;366521.2754749999;1;1
