;Unnamed: 0;nb_salaires_cleaned;age_cleaned;anciennete_emploi_cleaned;salaire_mensuel_cleaned;taux_endettement_cleaned;duree_pret_cleaned;anciennete_bni_cleaned;mensualite_cleaned;code_DTX_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;categorie_employeur_cleaned_UNIQUEVAL;nature_CAP_cleaned_UNIQUEVAL;type_contrat_cleaned;salaire_vivable;argent_journalier;age_end;year;nb_salaires_cleaned_bins;age_cleaned_bins;anciennete_emploi_cleaned_bins;taux_endettement_cleaned_bins;duree_pret_cleaned_bins;anciennete_bni_cleaned_bins;salaire_mensuel_cleaned_bins;avg_salaire_age;avg_cat_empl_sal;avg_duree_endettement;avg_salaire_anc_emploi;label
10000;177;47.0;59.0;323.0;332269.0;32.99;40;260.0;10961554.31;0;1;2;3;1;0;-10629285.31;-354309.5103333333;62.33333333333334;2011;2;1;70;0;1;31;7;437856.5656846549;462765.74141768547;31.116335177695362;549526.4686206896;1
4690;2612;1.0;45.0;25.0;293831.8;32.9;12;9.0;9667066.22;0;0;0;3;0;0;-9373234.419999998;-312441.14733333327;46.0;2011;0;1;21;0;4;11;11;437856.5656846549;462765.74141768547;28.630300939908953;383292.923074868;1
1391;6673;1.0;29.0;23.0;100000.0;32.8;24;2.0;3279999.9999999995;0;1;0;1;0;0;-3179999.9999999995;-106000.0;31.0;2012;0;0;15;0;0;1;11;348407.7354765545;313671.6793187913;31.611336366096918;343394.4938213339;1
3771;530;43.0;57.0;356.0;327000.0;32.53;48;70.0;10637310.0;0;0;0;3;1;0;-10310310.0;-343677.0;61.0;2011;2;1;48;0;1;29;7;437856.5656846549;462765.74141768547;31.285981228209238;572259.5847999997;1
16706;3995;3.0;37.0;57.0;340806.0;30.93;48;3.0;10541129.58;0;1;2;1;0;0;-10200323.58;-340010.786;41.0;2012;0;0;6;0;1;1;7;348407.7354765545;313671.6793187913;31.285981228209238;354968.68031732173;1
121;6577;5.0;30.0;6.0;331529.03;30.2;60;5.0;10012176.706;0;1;1;2;0;0;-9680647.676;-322688.25586666673;35.0;2011;0;0;40;0;3;1;7;348407.7354765545;636429.0148717947;30.86250662982543;469000.8640981597;1
683;4144;3.0;38.0;8.0;140000.0;31.71;24;3.0;4439400.0;0;1;2;1;0;0;-4299400.0;-143313.33333333337;40.0;2011;0;0;29;0;0;1;11;348407.7354765545;313671.6793187913;31.611336366096918;383142.03691812354;1
1806;6683;23.0;29.0;39.0;135810.0;32.64;36;23.0;4432838.4;0;1;0;1;1;0;-4297028.4;-143234.28;32.0;2012;0;0;18;0;2;0;1;348407.7354765545;313671.6793187913;31.286291191230358;361661.5960337501;1
13308;1447;13.0;51.0;28.0;179058.2;32.48;21;16.0;5815810.336;0;1;0;3;0;1;-5636752.136;-187891.73786666663;52.75;2011;0;1;21;0;0;10;1;437856.5656846549;462765.74141768547;31.1095996612638;383292.923074868;1
7993;3065;31.0;41.0;63.0;330000.0;32.76;24;32.0;10810800.0;0;0;0;0;1;0;-10480800.0;-349360.0;43.0;2012;2;1;2;0;0;13;7;437856.5656846549;354195.0145666767;31.611336366096918;380339.13418342744;1
10153;7516;1.0;24.0;17.0;400000.0;32.93;36;2.0;13172000.0;0;0;2;1;0;0;-12772000.0;-425733.33333333326;27.0;2012;0;0;1;0;2;1;7;348407.7354765545;313671.6793187913;31.286291191230358;354620.2513569526;1
4354;281;3.0;58.0;5.0;354000.0;32.91;20;4.0;11650139.999999998;0;0;0;0;0;0;-11296139.999999998;-376538.0;59.66666666666666;2011;0;1;40;0;0;1;7;437856.5656846549;354195.0145666767;29.537066352326065;469000.8640981597;1
5593;543;1.0;55.0;322.0;400000.0;32.94;24;39.0;13176000.0;0;0;0;0;0;0;-12776000.0;-425866.66666666674;57.0;2012;0;1;70;0;0;6;11;437856.5656846549;354195.0145666767;31.611336366096918;549526.4686206896;1
4104;2855;22.0;42.0;51.0;140000.0;32.91;24;22.0;4607399.999999999;0;1;1;0;0;0;-4467399.999999999;-148913.3333333333;44.0;2012;0;1;22;0;0;0;1;437856.5656846549;354195.0145666767;31.611336366096918;335757.89816463424;1
5085;616;25.0;56.0;128.0;186300.0;32.64;48;69.0;6080832.0;0;0;0;1;1;0;-5894532.0;-196484.4;60.0;2011;0;1;17;0;1;29;11;437856.5656846549;313671.6793187913;31.285981228209238;366521.2754749999;1
5915;2513;25.0;46.0;128.0;252910.0;32.89;24;42.0;8318209.9;0;0;0;0;1;0;-8065299.9;-268843.33;48.0;2011;0;1;17;0;0;6;11;437856.5656846549;354195.0145666767;31.611336366096918;366521.2754749999;1
16756;5109;1.0;35.0;56.0;94500.0;32.75;24;4.0;3094875.0;0;0;0;0;0;0;-3000375.0;-100012.5;37.0;2011;0;0;6;0;0;1;11;348407.7354765545;354195.0145666767;31.611336366096918;354968.68031732173;1
5094;762;1.0;55.0;347.0;410693.8;32.43;48;51.0;13318799.934;0;0;0;3;1;0;-12908106.134000001;-430270.20446666674;59.0;2011;0;1;67;0;1;8;4;437856.5656846549;462765.74141768547;31.285981228209238;526373.3045454543;1
7068;5581;20.0;32.0;32.0;163477.0;32.97;60;27.0;5389836.69;0;1;0;3;1;0;-5226359.69;-174211.98966666663;37.0;2012;0;0;4;0;3;3;11;348407.7354765545;462765.74141768547;30.86250662982543;367332.77090690075;1
18209;5929;8.0;31.0;26.0;327000.0;32.87;22;11.0;10748490.0;0;1;2;3;0;1;-10421490.0;-347383.0;32.833333333333336;2012;0;0;21;0;0;11;7;348407.7354765545;462765.74141768547;31.15524486113932;383292.923074868;1
16028;6036;26.0;32.0;29.0;304716.0;32.99;22;26.0;10052580.84;0;1;1;2;0;1;-9747864.84;-324928.828;33.833333333333336;2011;2;0;21;0;0;3;7;348407.7354765545;636429.0148717947;31.15524486113932;383292.923074868;1
5332;5202;33.0;34.0;49.0;294000.0;32.11;48;33.0;9440340.0;0;0;0;1;1;0;-9146340.0;-304878.0;38.0;2012;2;0;22;0;1;13;2;348407.7354765545;313671.6793187913;31.285981228209238;335757.89816463424;1
4709;3052;7.0;43.0;19.0;375000.0;32.42;60;6.0;12157500.0;0;1;0;2;0;0;-11782500.0;-392750.0;48.0;2011;0;1;15;0;3;1;7;437856.5656846549;636429.0148717947;30.86250662982543;343394.4938213339;1
17660;2122;14.0;47.0;244.0;337800.0;32.36;33;15.0;10931208.0;0;0;0;1;1;0;-10593408.0;-353113.6;49.75;2011;0;1;69;0;2;10;7;437856.5656846549;313671.6793187913;31.45934017729243;505435.5566666666;1
6121;1680;25.0;48.0;55.0;297657.56;32.7;48;28.0;9733402.212;0;0;0;1;1;0;-9435744.652;-314524.8217333333;52.0;2012;0;1;6;0;1;3;11;437856.5656846549;313671.6793187913;31.285981228209238;354968.68031732173;1
8807;124;2.0;59.0;61.0;129471.18;32.94;24;2.0;4264780.6691999985;0;0;0;1;0;0;-4135309.4891999993;-137843.64964000002;61.0;2012;0;1;2;0;0;1;1;437856.5656846549;313671.6793187913;31.611336366096918;380339.13418342744;1
3065;680;11.0;55.0;16.0;215579.0;32.66;24;11.0;7040810.14;1;0;0;2;0;0;-6825231.14;-227507.70466666663;57.0;2012;0;1;1;0;0;11;2;437856.5656846549;636429.0148717947;31.611336366096918;354620.2513569526;1
13557;4922;36.0;34.0;101.0;150000.0;32.64;12;36.0;4896000.0;0;1;0;0;0;0;-4746000.0;-158200.0;35.0;2012;2;0;10;0;4;13;1;348407.7354765545;354195.0145666767;28.630300939908953;325603.0885557085;1
2468;3923;2.0;38.0;13.0;109476.0;32.62;24;2.0;3571107.12;1;0;0;1;0;0;-3461631.12;-115387.70399999998;40.0;2012;0;0;1;0;0;1;1;348407.7354765545;313671.6793187913;31.611336366096918;354620.2513569526;1
2298;3534;3.0;39.0;24.0;140000.0;32.83;36;3.0;4596200.0;0;0;0;1;0;0;-4456200.0;-148540.0;42.0;2012;0;0;15;0;2;1;11;348407.7354765545;313671.6793187913;31.286291191230358;343394.4938213339;1
17392;1407;18.0;50.0;186.0;275000.0;32.93;48;19.0;9055750.0;0;0;0;1;1;0;-8780750.0;-292691.66666666674;54.0;2012;0;1;59;0;1;0;2;437856.5656846549;313671.6793187913;31.285981228209238;335054.05065637076;1
2559;3890;13.0;39.0;23.0;174745.38;32.89;24;16.0;5747375.5482;1;0;0;0;1;0;-5572630.1682;-185754.33894;41.0;2011;0;0;15;0;0;10;1;348407.7354765545;354195.0145666767;31.611336366096918;343394.4938213339;1
