dataset_name	Encoder	validation_type	sample_type	train_shape	test_shape	mean_target_before_sampling_train	mean_target_after_sampling_train	mean_target_test	num_cat_cols	train_score	val_score	test_score	time	features_before_encoding	features_after_encoding	avg_tress_number	train_prop_size
telecom	CatBoostEncoder	Single	None	140	4226	0.24285714285714285	0.24285714285714285	0.26786559394226217	16	0.8916731692677071	0.8252319109461966	0.7851179816857431	5.2808332443237305	19	19	65	0.05
telecom	CatBoostEncoder	Single	None	281	4226	0.2526690391459075	0.2526690391459075	0.26786559394226217	16	0.922469865139038	0.8349092970521543	0.7946955351860777	4.837958574295044	19	19	54	0.1
telecom	CatBoostEncoder	Single	None	704	4226	0.25	0.25	0.26786559394226217	16	0.8905051446878505	0.7859508977595231	0.7934529615053414	5.5360634326934814	19	19	28	0.25
telecom	CatBoostEncoder	Single	None	1408	4226	0.2649147727272727	0.2649147727272727	0.26786559394226217	16	0.9061217524463359	0.8132427209818516	0.7914066550784489	5.6212146282196045	19	19	36	0.5
telecom	CatBoostEncoder	Single	None	2112	4226	0.26609848484848486	0.26609848484848486	0.26786559394226217	16	0.8921701255677691	0.812292524774683	0.8003023919543354	5.980692148208618	19	19	40	0.75
telecom	CatBoostEncoder	Single	gan	147	4226	0.24285714285714285	0.2789115646258503	0.26786559394226217	16	0.8834612405568288	0.8206649831649833	0.7766402429414276	5.0746750831604	19	19	105	0.05
telecom	CatBoostEncoder	Single	gan	309	4226	0.2526690391459075	0.32038834951456313	0.26786559394226217	16	0.9425896624472573	0.8559398496240602	0.7853162738321748	6.768920183181763	19	19	66	0.1
telecom	CatBoostEncoder	Single	gan	880	4226	0.25	0.4	0.26786559394226217	16	0.9606262105965875	0.8725066119990382	0.7608089919849429	7.40635871887207	19	19	69	0.25
telecom	CatBoostEncoder	Single	gan	2112	4226	0.2649147727272727	0.5066287878787878	0.26786559394226217	16	0.9540036412265437	0.8719085912857432	0.7518874157436827	24.93901562690735	19	19	113	0.5
telecom	CatBoostEncoder	Single	gan	3696	4226	0.26609848484848486	0.5765692640692641	0.26786559394226217	16	0.9712258780345181	0.92443485438197	0.7887566211589283	20.70671820640564	19	19	154	0.75
telecom	CatBoostEncoder	Single	sample_original	147	4226	0.24285714285714285	0.23129251700680273	0.26786559394226217	16	0.8972175869398091	0.827150385846038	0.7912253512440585	9.600196123123169	19	19	57	0.05
telecom	CatBoostEncoder	Single	sample_original	309	4226	0.2526690391459075	0.32038834951456313	0.26786559394226217	16	0.9237605485232067	0.8647305764411028	0.7842231687456171	11.846876382827759	19	19	36	0.1
telecom	CatBoostEncoder	Single	sample_original	880	4226	0.25	0.30454545454545456	0.26786559394226217	16	0.967412577750661	0.8778893753469962	0.7837766188291028	17.52672290802002	19	19	103	0.25
telecom	CatBoostEncoder	Single	sample_original	2112	4226	0.2649147727272727	0.2722537878787879	0.26786559394226217	16	0.967661248817533	0.8968848549835663	0.7794368902766324	27.655094623565674	19	19	102	0.5
telecom	CatBoostEncoder	Single	sample_original	3696	4226	0.26609848484848486	0.26785714285714285	0.26786559394226217	16	0.9946045887072283	0.9190695294198784	0.7778504103462532	81.08181190490723	19	19	538	0.75
